,sin
0,0.0
1,0.00016002089491142597
2,0.0006395662576089366
3,0.0014370853926873905
4,0.0025499980406794454
5,0.003974700717540709
6,0.005706575570296781
7,0.007740001729269428
8,0.01006836913177455
9,0.01268409478671271
10,0.015578641444065193
11,0.01874253862797637
12,0.02216540598685752
13,0.0258359789087996
14,0.029742136345543038
15,0.03387093078333266
16,0.038208620294195375
17,0.042740702596527
18,0.047451951049373754
19,0.052326452500450385
20,0.05734764690376386
21,0.062498368618712566
22,0.06776088929872036
23,0.07311696227384545
24,0.07854786832838737
25,0.08403446277130633
26,0.08955722369427674
27,0.09509630130942434
28,0.10063156825625383
29,0.10614267076496353
30,0.11160908056127103
31,0.1170101473960465
32,0.12232515208146706
33,0.1275333599140753
34,0.13261407436404643
35,0.1375466909091481
36,0.1423107508913117
37,0.14688599527343166
38,0.15125241817396412
39,0.15539032005711442
40,0.15928036045688054
41,0.1629036101139575
42,0.16624160240550465
43,0.16927638394903102
44,0.17199056426316317
45,0.17436736436982014
46,0.17639066422432895
47,0.1780450488622687
48,0.17931585315432544
49,0.1801892050631699
50,0.18065206729933042
51,0.18069227727621917
52,0.1802985852678715
53,0.1794606906765735
54,0.1781692763213714
55,0.17641604066247232
56,0.1741937278807494
57,0.17149615573594934
58,0.16831824113175617
59,0.1646560233205831
60,0.16050668468583593
61,0.1558685690444047
62,0.1507411974172887
63,0.14512528122152743
64,0.13902273284199443
65,0.13243667354708832
66,0.12537143871793302
67,0.11783258036634425
68,0.10982686692253919
69,0.10136228027933927
70,0.09244801008542781
71,0.08309444528607596
72,0.0733131629156138
73,0.06311691415179908
74,0.05251960764810367
75,0.04153629016579343
76,0.030183124533496208
77,0.01847736496773996
78,0.006437329793669893
79,-0.005917628389180214
80,-0.01856715504560019
81,-0.03148992849193365
82,-0.04466369707046522
83,-0.058065318644309465
84,-0.07167080234098207
85,-0.08545535246779833
86,-0.09939341451735474
87,-0.11345872317661003
88,-0.12762435224851437
89,-0.1418627663907323
90,-0.15614587457179208
91,-0.17044508514097054
92,-0.18473136240440155
93,-0.19897528459628075
94,-0.21314710313064755
95,-0.2272168030160525
96,-0.24115416431247863
97,-0.25492882450718685
98,-0.26851034168369703
99,-0.2818682583559113
100,-0.2949721658374357
101,-0.3077917690144649
102,-0.32029695138916436
103,-0.33245784025933167
104,-0.34424487189922215
105,-0.35562885660581445
106,-0.3665810434744451
107,-0.3770731847676838
108,-0.3870775997415283
109,-0.39656723779349257
110,-0.4055157407979311
111,-0.4138975044949845
112,-0.4216877388008571
113,-0.4288625269087272
114,-0.4353988830514618
115,-0.44127480879943615
116,-0.44646934776916036
117,-0.4509626386210737
118,-0.4547359662277816
119,-0.45777181089717567
120,-0.4600538955382893
121,-0.46156723066139016
122,-0.46229815710769256
123,-0.4622343864081828
124,-0.4613650386753699
125,-0.45968067793631695
126,-0.4571733448200371
127,-0.4538365865172685
128,-0.449665483935757
129,-0.44465667597945324
130,-0.4388083808854858
131,-0.43212041455836614
132,-0.4245942058466283
133,-0.4162328087129786
134,-0.40704091125502273
135,-0.3970248415397427
136,-0.38619257022109255
137,-0.3745537099163636
138,-0.36211951132332654
139,-0.3489028560665719
140,-0.3349182462679317
141,-0.32018179084236137
142,-0.30471118852717943
143,-0.28852570765908925
144,-0.2716461627199291
145,-0.25409488767860466
146,-0.23589570616313163
147,-0.2170738985031497
148,-0.1976561656896525
149,-0.17767059030497506
150,-0.15714659448232215
151,-0.13611489496024667
152,-0.11460745530351955
153,-0.09265743536774235
154,-0.07029913809083481
155,-0.047567953700167386
156,-0.024500301429594955
157,-0.0011335688459677689
158,0.02249395111015826
159,0.046343125259935274
160,0.0703740473833109
161,0.09454610735880184
162,0.11881806212260815
163,0.14314810831961877
164,0.16749395651497506
165,0.19181290683122024
166,0.2160619258726757
167,0.2401977247955522
168,0.2641768383794389
169,0.2879557049532157
170,0.31149074702611884
171,0.3347384524726415
172,0.35765545611821836
173,0.3801986215711639
174,0.4023251231451841
175,0.42399252771590423
176,0.445158876354296
177,0.4657827655796167
178,0.48582342807451884
179,0.5052408127053274
180,0.5239956636911349
181,0.542049598766317
182,0.5593651861823297
183,0.5759060203962042
184,0.5916367962950261
185,0.6065233818078263
186,0.6205328887587784
187,0.6336337418183239
188,0.6457957454118832
189,0.6569901484491134
190,0.6671897067402527
191,0.6763687429699502
192,0.6845032041030855
193,0.6915707161014562
194,0.6975506358348231
195,0.7024241000746647
196,0.7061740714640683
197,0.7087853813625038
198,0.7102447694697385
199,0.7105409201388712
200,0.7096644952943857
201,0.7076081638772064
202,0.7043666277450089
203,0.6999366439624598
204,0.6943170434226208
205,0.6875087457474632
206,0.6795147704222517
207,0.6703402441254984
208,0.6599924042232054
209,0.6484805984032337
210,0.6358162804328087
211,0.6220130020294137
212,0.6070864008425971
213,0.5910541845515258
214,0.5739361110904383
215,0.5557539650214741
216,0.5365315300816588
217,0.5162945579381123
218,0.49507073319278017
219,0.47288963468517686
220,0.4497826931487437
221,0.4257831452834576
222,0.4009259843142639
223,0.375247907111726
224,0.34878725795801413
225,0.32158396904788045
226,0.2936794978207322
227,0.2651167612261435
228,0.23594006703124337
229,0.20619504228431404
230,0.17592855905463478
231,0.14518865757410174
232,0.11402446691142727
233,0.08248612331476664
234,0.050624686363424806
235,0.018492053073849605
236,-0.013859129890586115
237,-0.04637555575248346
238,-0.07900334873871538
239,-0.11168815662337318
240,-0.14437524453143444
241,-0.17700958983634474
242,-0.20953597798213075
243,-0.2418990990583947
244,-0.27404364495458877
245,-0.30591440691833355
246,-0.337456373341242
247,-0.3686148275946992
248,-0.399335445737437
249,-0.4295643939163705
250,-0.4592484252821982
251,-0.48833497624159306
252,-0.5167722618684903
253,-0.5445093702979745
254,-0.5714963559276073
255,-0.5976843312526983
256,-0.623025557164015
257,-0.6474735315387377
258,-0.6709830759581048
259,-0.6935104203881409
260,-0.7150132856631254
261,-0.7354509636150238
262,-0.7547843946959745
263,-0.7729762429450823
264,-0.7899909681552179
265,-0.8057948951002476
266,-0.8203562796881121
267,-0.8336453719104295
268,-0.8456344754648067
269,-0.8562980039317963
270,-0.865612533394409
271,-0.8735568513943135
272,-0.88011200212525
273,-0.8852613277708108
274,-0.888990505900535
275,-0.891287582845237
276,-0.8921430029796318
277,-0.8915496338475923
278,-0.889502787072807
279,-0.8860002350051399
280,-0.881042223060647
281,-0.8746314777209488
282,-0.8667732101654834
283,-0.8574751155180493
284,-0.8467473676969974
285,-0.8346026098663972
286,-0.8210559404935104
287,-0.8061248950259047
288,-0.7898294232095413
289,-0.7721918620771407
290,-0.7532369046440703
291,-0.7329915643568816
292,-0.7114851353474343
293,-0.6887491485532987
294,-0.6648173237727345
295,-0.6397255177301038
296,-0.613511668234958
297,-0.586215734525312
298,-0.5578796338927254
299,-0.5285471746937613
300,-0.49826398585915394
301,-0.4670774430185982
302,-0.43503659136543915
303,-0.4021920653916979
304,-0.3685960056297939
305,-0.3343019725430135
306,-0.2993648577122097
307,-0.26384079247139425
308,-0.22778705414979059
309,-0.1912619700825395
310,-0.1543248195565886
311,-0.11703573386233335
312,-0.07945559462531376
313,-0.04164593059569082
314,-0.0036688130763294583
315,0.034413249826906876
316,0.07253741994661143
317,0.11064063659885516
318,0.14865972474187963
319,0.1865315035570834
320,0.22419289525988095
321,0.2615810339472726
322,0.2986333742885881
323,0.3352877998658424
324,0.3714827309704685
325,0.4071572316638756
326,0.4422511159103099
327,0.4767050525918821
328,0.5104606692173536
329,0.5434606541383518
330,0.5756488570891052
331,0.6069703878685404
332,0.6373717129866799
333,0.6668007501006911
334,0.6952069600696825
335,0.7225414364613927
336,0.748756992348286
337,0.7738082442352305
338,0.79765169296589
339,0.8202458014602079
340,0.8415510691408559
341,0.8615301029123339
342,0.8801476845624004
343,0.8973708344618152
344,0.9131688714448731
345,0.9275134687599367
346,0.9403787059861077
347,0.9517411168193142
348,0.9615797326383956
349,0.9698761217692542
350,0.9766144243727779
351,0.9817813828900182
352,0.9853663679860105
353,0.9873613999416513
354,0.9877611654511541
355,0.986563029790816
356,0.9837670443330935
357,0.9793759493883077
358,0.9733951723646665
359,0.9658328212456702
360,0.9566996733923614
361,0.9460091596862721
362,0.933777344037264
363,0.9200228982888071
364,0.904767072561486
365,0.8880336610837405
366,0.8698489635669575
367,0.8502417421900488
368,0.8292431742665544
369,0.8068868006750888
370,0.7832084701415748
371,0.7582462794691963
372,0.7320405098192991
373,0.7046335591535967
374,0.6760698709549638
375,0.6463958593508166
376,0.6156598307695718
377,0.5839119022669425
378,0.5512039166648377
379,0.5175893546513963
380,0.48312324399617673
381,0.4478620660397371
382,0.4118636596217693
383,0.3751871226165822
384,0.33789271124905595
385,0.3000417373682061
386,0.261696463859179
387,0.22291999837790302
388,0.18377618559559855
389,0.14432949814310153
390,0.10464492644727663
391,0.06478786765381134
392,0.02482401383233433
393,-0.015180760338898439
394,-0.055160510210565464
395,-0.09504933392332067
396,-0.134781485093322
397,-0.17429148522339236
398,-0.21351423564145453
399,-0.25238512876873737
400,-0.29084015852146194
401,-0.3288160296512974
402,-0.3662502658317603
403,-0.40308131630006055
404,-0.4392486608664539
405,-0.47469291310614686
406,-0.5093559215520802
